RNC EMISOR, CODIGO SIVEM, ISIN,SERIE, FECHA EMISION,FECHA VENCIMIENTO,MONEDA,TIPO TRANSACCION,TIPO CONTRATO,NEGOCIACION,TIPO MERCADO,TASA,TASA RENDIMIENTO,FECHA VALOR,CANTIDAD TITULOS,CANTIDAD VALOR NOMINAL,VALOR NOMINAL,PRECIO NEGOCIADO,VALOR NEGOCIADO,FECHA ENVIO
4-01-00732-2,SIVEMGC-258,DO1005206516,MH32028,10/08/2018,11/08/2028,DOP,V,SP,OTC,S,0.1075,0.0905,05/08/2019,250,25000000,100000,110.3427,27585675,20/09/2019
4-01-00732-2,SIVEMGC-258,DO1005206516,MH32028,10/08/2018,11/08/2028,DOP,V,SP,OTC,S,0.1075,0.0906,05/08/2019,100,10000000,100000,110.3,11030000,20/09/2019
4-01-00732-2,SIVEMGC-186,DO1005204412,MH12029,06/07/2014,06/07/2029,DOP,V,SP,OTC,S,0.1138,0.0908,05/08/2019,500,50000000,100000,114.7896,57394800,20/09/2019
4-01-00732-2,SIVEMGC-186,DO1005204412,MH12029,06/07/2014,06/07/2029,DOP,V,SP,OTC,S,0.1138,0.0908,05/08/2019,250,25000000,100000,114.7896,28697400,20/09/2019
4-01-00732-2,SIVEMGC-186,DO1005204412,MH12029,06/07/2014,06/07/2029,DOP,V,SP,OTC,S,0.1138,0.0907,05/08/2019,1576,157600000,100000,114.8605,181020124,20/09/2019
4-01-00732-2,SIVEMGC-258,USP3579ECB13,BSRD2028,19/07/2018,19/07/2028,USD,V,SP,OTC,S,0.06,0.044,05/08/2019,2,2000,1000,111.7351,2234.702,20/09/2019
4-01-00732-2,SIVEMGC-258,USP3579ECB13,BSRD2028,19/07/2018,19/07/2028,USD,V,SP,OTC,S,0.06,0.0456,05/08/2019,10,10000,1000,110.4882,11048.82,20/09/2019
4-01-00732-2,SIVEMGC-264,DO1005206722,MH12034,11/01/2019,11/01/2034,DOP,V,SP,OTC,S,0.115,0.0933,05/08/2019,100,10000000,100000,117,11700000,20/09/2019
4-01-00732-2,SIVEMGC-258,DO1005206516,MH32028,10/08/2018,11/08/2028,DOP,C,SP,OTC,S,0.1075,0.0908,05/08/2019,250,25000000,100000,110.1483,27537075,20/09/2019
4-01-00755-1,SIVEMBC-236,DO1002216724,DOBCNO11.00%050124,05/01/2017,05/01/2024,DOP,V,SP,OTC,S,0.11,0.091,05/08/2019,8136,81360000,10000,106.7675,86866039.99,20/09/2019
4-01-00732-2,SIVEMGC-162,USP3579EAT49,BSRD1324,28/01/2013,28/01/2024,USD,V,SP,OTC,S,0.066,0.035,05/08/2019,9,9000,1000,112.7515,10147.635,20/09/2019
4-01-00755-1,SIVEMBC-246,DO1002217425,DOBCCI10.50%041024,04/10/2017,04/10/2024,DOP,V,SP,OTC,S,0.105,0.089,05/08/2019,90,900000,10000,106.4854,958368.4185,20/09/2019
4-01-00732-2,SIVEMGC-234,DO1005205617,MH12027,05/08/2016,05/02/2027,DOP,V,SP,OTC,S,0.1125,0.0895,05/08/2019,500,50000000,100000,112.4071,56203550,20/09/2019
4-01-00732-2,SIVEMGC-234,DO1005205617,MH12027,05/08/2016,05/02/2027,DOP,V,SP,OTC,S,0.1125,0.0895,05/08/2019,500,50000000,100000,112.4071,56203550,20/09/2019
4-01-00732-2,SIVEMGC-229,DO1005205310,MH32026,06/05/2016,06/11/2026,DOP,C,SP,OTC,S,0.11,0.0892,05/08/2019,250,25000000,100000,110.9186,27729650,20/09/2019
4-01-00732-2,SIVEMGC-258,DO1005206516,MH32028,10/08/2018,11/08/2028,DOP,C,SP,OTC,S,0.1075,0.0903,05/08/2019,100,10000000,100000,110.47,11047000,20/09/2019
4-01-00732-2,SIVEMGC-234,DO1005205617,MH12027,05/08/2016,05/02/2027,DOP,C,SP,OTC,S,0.1125,0.0888,05/08/2019,100,10000000,100000,112.79,11279000,20/09/2019
4-01-00732-2,SIVEMGC-264,DO1005206722,MH12034,11/01/2019,11/01/2034,DOP,C,SP,OTC,S,0.115,0.0932,05/08/2019,100,10000000,100000,117.15,11715000,20/09/2019
4-01-00732-2,SIVEMGC-258,DO1005206516,MH32028,10/08/2018,11/08/2028,DOP,C,SP,OTC,S,0.1075,0.0903,05/08/2019,100,10000000,100000,110.5,11050000,20/09/2019
4-01-00732-2,SIVEMGC-186,DO1005204412,MH12029,06/07/2014,06/07/2029,DOP,C,SP,OTC,S,0.1138,0.0905,05/08/2019,90,9000000,100000,115,10350000,20/09/2019
4-01-00755-1,SIVEMBC-263,DO1002219322,DOBCNO10.00%261121,26/11/2018,26/11/2021,DOP,C,SP,OTC,S,0.1,0.085,05/08/2019,924,9240000,10000,103.0589,9522642.209,20/09/2019
4-01-00755-1,SIVEMBC-201,DO1002213929,DOBCNO12.00%110322,11/03/2015,11/03/2022,DOP,C,SP,OTC,S,0.12,0.087,05/08/2019,1212,12120000,10000,107.4815,13026757.07,20/09/2019
4-01-00755-1,SIVEMBC-241,DO1002217128,DOBCCI11.00%090224,09/02/2017,09/02/2024,DOP,C,SP,OTC,S,0.11,0.091,05/08/2019,5500,55000000,10000,106.9009,58795500.76,20/09/2019
4-01-00732-2,SIVEMGC-068,USP3579EAH01,GLOB2010240001,06/05/2010,06/05/2021,USD,V,SP,OTC,S,0.075,0.028,05/08/2019,127,127000,1000,105.7242,134269.7975,20/09/2019
4-01-00732-2,SIVEMGC-258,DO1005206516,MH32028,08/10/2018,08/11/2028,DOP,C,SP,OTC,S,0.1075,0.091,08/08/2019,100,10000000,100000,115.2819,11528191.8,20/09/2019
4-01-00732-2,SIVEMGC-185,DO1005205617,MH12027,08/05/2016,02/05/2027,DOP,V,SP,OTC,S,0.1125,0.0895,06/08/2019,500,50000000,100000,112.4338,56216911,20/09/2019
4-01-00732-2,SIVEMGC-258,DO1005206516,MH32028,10/08/2018,11/08/2028,DOP,C,SP,OTC,S,0.1075,0.0927,05/08/2019,100,10000000,100000,109.9,10990000,20/09/2019
4-01-00732-2,SIVEMGC-258,DO1005206516,MH32028,10/08/2018,11/08/2028,DOP,C,SP,OTC,S,0.1075,0.0926,05/08/2019,100,10000000,100000,109.95,10995000,20/09/2019
4-01-00755-1,SIVEMBC-256,DO1002218621,NO170125,17/01/2018,17/01/2025,DOP,C,SP,OTC,S,0.105,0.0949,05/08/2019,2500,25000000,10000,105.4634,26365859.16,20/09/2019
4-01-00732-2,SIVEMGC-186,DO1005204412,MH12029,06/07/2014,06/07/2029,DOP,C,SP,OTC,S,0.1138,0.0999,05/08/2019,500,50000000,100000,114.7896,57394800,20/09/2019
4-01-00732-2,SIVEMGC-186,DO1005204412,MH12029,06/07/2014,06/07/2029,DOP,V,SP,OTC,S,0.1138,0.0997,05/08/2019,500,50000000,100000,115.0024,57501200,20/09/2019
4-01-00732-2,SIVEMGC-186,DO1005204412,MH12029,06/07/2014,06/07/2029,DOP,V,SP,OTC,S,0.1138,0.0997,05/08/2019,250,25000000,100000,115.0024,28750600,20/09/2019
4-01-00732-2,SIVEMGC-258,DO1005206516,MH32028,10/08/2018,11/08/2028,DOP,C,SP,OTC,S,0.1075,0.0921,05/08/2019,500,50000000,100000,110.5376,55268800,20/09/2019
4-01-00732-2,SIVEMGC-264,DO1005206722,MH12034,11/01/2019,11/01/2034,DOP,C,SP,OTC,S,0.115,0.1041,05/08/2019,50,5000000,100000,117.1181,5855905,20/09/2019
4-01-00732-2,SIVEMGC-240,USP3579EBV85,BSDR2027,25/01/2017,25/01/2027,USD,V,SP,OTC,S,0.0595,0.0488,05/08/2019,122,122000,1000,108.65,132553,20/09/2019
4-01-00732-2,SIVEMGC-240,USP3579EBV85,BSDR2027,25/01/2017,25/01/2027,USD,V,SP,OTC,S,0.0595,0.0488,05/08/2019,64,64000,1000,108.65,69536,20/09/2019
4-01-00755-1,SIVEMBC-201,DO1002213929,NO110322,11/03/2015,11/03/2022,DOP,C,SP,OTC,S,0.12,0.0881,05/08/2019,5000,50000000,10000,107.4815,53740746.98,20/09/2019
4-01-00755-1,SIVEMBC-141,DO1002249923,CI030120,03/01/2013,03/01/2020,DOP,V,SP,OTC,S,0.13,0.0787,05/08/2019,5950,59500000,10000,102.105,60752464.4,20/09/2019
4-01-00755-1,SIVEMBC-141,DO1002249923,CI030120,03/01/2013,03/01/2020,DOP,V,SP,OTC,S,0.13,0.0787,05/08/2019,500,5000000,10000,102.105,5105249.109,20/09/2019
4-01-00755-1,SIVEMBC-256,DO1002218522,NO130123,13/01/2018,13/01/2023,DOP,C,SP,OTC,S,0.1,0.0906,05/08/2019,3000,30000000,10000,103.1113,30933375,20/09/2019
4-01-00755-1,SIVEMBC-263,DO1002219322,NO261121,26/11/2018,26/11/2021,DOP,C,SP,OTC,S,0.1,0.0844,05/08/2019,11411,114110000,10000,103.2691,117840337.1,20/09/2019
4-01-00755-1,SIVEMBC-265,DO1002219827,LE061219,06/12/2018,06/12/2019,DOP,V,SP,OTC,S,0,0.0675,05/08/2019,168,1680000,10000,97.7457,1642128,20/09/2019
4-01-00755-1,SIVEMBC-265,DO1002219827,LE061219,06/12/2018,06/12/2019,DOP,V,SP,OTC,S,0,0.0675,05/08/2019,3448,34480000,10000,97.7457,33702730.77,20/09/2019
4-01-00732-2,SIVEMGC-225,USP3579EBK21,BSRD2026,29/01/2016,29/01/2026,USD,C,SP,OTC,S,0.0688,0.051,05/08/2019,22,22000,1000,112.9266,24843.8586,20/09/2019
4-01-00732-2,SIVEMGC-264,DO1005206722,MH12034,11/01/2019,11/01/2034,DOP,V,SP,OTC,S,0.115,0.1044,05/08/2019,250,25000000,100000,116.5066,29126650,20/09/2019
4-01-00755-1,SIVEMBC-263,DO1002219322,NO261121,26/11/2018,26/11/2021,DOP,C,SP,OTC,S,0.1,0.0855,05/08/2019,6791,67910000,10000,102.954,69916073.41,20/09/2019
4-01-00755-1,ND,DO1002217128,CI090224,09/02/2017,09/02/2024,DOP,V,SP,OTC,S,0.11,0.0916,05/08/2019,2500,25000000,10000,112.0523,28013076.28,20/09/2019
4-01-00732-2,235,DO1005205716,MHUS2027,05/09/2016,05/03/2027,USD,C,SP,OTC,S,0.06,0.032,05/08/2019,414,414000,1000,108.7418,450190.93,20/09/2019
4-01-00732-2,GC-258,DO1005206516,MH3-2028,10/08/2018,11/08/2028,DOP,C,SP,OTC,S,0.1075,0.0905,05/08/2019,250,25000000,100000,110.3427,27585675,20/09/2019
4-01-00755-1,BC-232,DO1002216526,DOBCNO10.00%100921,10/09/2016,10/09/2021,DOP,C,SP,OTC,S,0.1,0.0851,05/08/2019,400,4000000,10000,102.7887,4111548.34,20/09/2019
4-01-00732-2,GC-258,DO1005206516,MH3-2028,10/08/2018,11/08/2028,DOP,V,SP,OTC,S,0.1075,0.0902,05/08/2019,500,50000000,100000,110.5376,55268800,20/09/2019
4-01-00732-2,GC-186,DO1005204412,MH1-2029,06/07/2014,06/07/2029,DOP,V,SP,OTC,S,0.1138,0.0908,05/08/2019,100,10000000,100000,114.8,11480000,20/09/2019
4-01-00732-2,GC-258,DO1005206516,MH3-2028,10/08/2018,11/08/2028,DOP,V,SP,OTC,S,0.1075,0.09,05/08/2019,100,10000000,100000,110.67,11067000,20/09/2019
4-01-00732-2,GC-258,DO1005206516,MH3-2028,10/08/2018,11/08/2028,DOP,V,SP,OTC,S,0.1075,0.09,05/08/2019,500,50000000,100000,110.6677,55333850,20/09/2019
4-01-00732-2,SIVEMGC-2,DO1005206011,MH1-2032,05/03/2017,05/03/2032,DOP,V,SP,OTC,S,0.12,0.0934,05/08/2019,100,10000000,100000,119.45,11945000,20/09/2019
4-01-50625-4,,DO1005206516,MH3-2028,10/08/2018,11/08/2028,DOP,C,SP,OTC,S,0.1075,0.09,05/08/2019,863,86300000,100000,115.8748,99999952.4,20/09/2019
4-01-50625-4,,DO1005206516,MH3-2028,10/08/2018,11/08/2028,DOP,V,SP,OTC,S,0.1075,0.09,06/08/2019,863,86300000,100000,115.8939,100016435.7,20/09/2019
4-01-00755-1,ND,LE1D05082019,LE1D0.00%050819,05/08/2019,06/08/2019,DOP,C,SP,OTC,P,0.045,0.045,05/08/2019,1,110000000,110000000,99.9875,109986250,20/09/2019
4-01-00732-2,SIVEMGC-264,DO1005296722,MH1203411.50%110134,11/01/2019,11/01/2034,DOP,C,SP,OTC,P,0.115,0.0929,05/08/2019,100,10000000,100000,117.3831,11738310,20/09/2019
4-01-00755-1,SIVEMBC-256,DO1002218522,DOBCNO10.00%130123,13/01/2018,13/01/2023,DOP,C,SP,OTC,S,0.1,0.0896,05/08/2019,3000,30000000,10000,102.9928,30897846.14,20/09/2019
4-01-00755-1,SIVEMBC-256,DO1002218522,DOBCNO10.00%130123,13/01/2018,13/01/2023,DOP,V,SP,OTC,S,0.1,0.0893,05/08/2019,3000,30000000,10000,103.1113,30933375.09,20/09/2019
