RNC EMISOR, CODIGO SIVEM, ISIN,SERIE, FECHA EMISION,FECHA VENCIMIENTO,MONEDA,TIPO TRANSACCION,TIPO CONTRATO,NEGOCIACION,TIPO MERCADO,TASA,TASA RENDIMIENTO,FECHA VALOR,CANTIDAD TITULOS,CANTIDAD VALOR NOMINAL,VALOR NOMINAL,PRECIO NEGOCIADO,VALOR NEGOCIADO,FECHA ENVIO
4-01-00755-1,SIVEMBC-265,DO1002219827,LE061219,06/12/2018,06/12/2019,DOP,V,SP,OTC,S,0,0.0725,13/09/2019,36,360000,10000,98.3365,354011.3087,13/09/2019
4-01-00732-2,SIVEMGC-185,DO1005204214,MH12024,10/05/2014,10/05/2024,DOP,V,SP,OTC,S,0.115,0.0856,13/09/2019,99,9900000,100000,111.0724,10996167.6,13/09/2019
4-01-00732-2,SIVEMGC-185,DO1005204214,MH12024,10/05/2014,10/05/2024,DOP,V,SP,OTC,S,0.115,0.0856,13/09/2019,758,75800000,100000,111.0724,84192879.2,13/09/2019
4-01-00755-1,SIVEMBC-263,DO1002219926,DOBCNO10.00%180222,18/02/2019,18/02/2022,DOP,C,SP,OTC,S,0.1,0.088,13/09/2019,10000,100000000,10000,102.5612,102561244.8,13/09/2019
4-01-00732-2,SIVEMGC-198,USP3579EBD87,BSRD2025,27/01/2015,27/01/2025,USD,V,SP,OTC,S,0.055,0.0375,13/09/2019,121,121000,1000,108.4388,131210.948,13/09/2019
4-01-00732-2,SIVEMGC-243,DO1005206011,MH12032,05/03/2017,05/03/2032,DOP,C,SP,OTC,S,0.12,0.1089,13/09/2019,11,1100000,100000,115.6163,1271779.3,13/09/2019
4-01-00755-1,SIVEMBC-263,DO1002219926,NO180222,18/02/2019,18/02/2022,DOP,V,SP,OTC,S,0.1,0.089,13/09/2019,9000,90000000,10000,102.5612,92305120.2848,13/09/2019
4-01-00732-2,SIVEMGC-186,DO1005204412,MH12029,06/07/2014,06/07/2029,DOP,V,SP,OTC,S,0.1138,0.1025,13/09/2019,100,10000000,100000,109.8187,10981870,13/09/2019
4-01-00755-1,2,DO1002216112,DOBCCI11.00%030223,03/02/2016,03/02/2023,DOP,V,SP,OTC,S,0.11,0.0915,13/09/2019,3000,30000000,10000,106.4921,31947617.1,13/09/2019
4-01-00732-2,1,DO1005206722,MH1-2034,11/01/2019,11/01/2034,DOP,V,SP,OTC,S,0.115,0.0988,13/09/2019,1000,100000000,100000,114.2777,114277738,13/09/2019
4-01-00755-1,SIVEMBC-226,DO1002216112,DOBCCI11.00%030223,03/02/2016,03/02/2023,DOP,C,SP,OTC,S,0.11,0.0935,13/09/2019,10000,100000000,10000,104.6777,104677678.9084,13/09/2019
4-01-00732-2,SIVEMGC-242,DO1005205914,MH22023,07/04/2017,07/04/2023,DOP,C,SP,OTC,S,0.105,0.0825,13/09/2019,2694,269400000,100000,106.8078,287740213.2,13/09/2019
4-01-00732-2,SIVEMGC-224,DO1005205112,MH22026,14/01/2016,14/01/2026,DOP,C,SP,OTC,S,0.1088,0.094,13/09/2019,500,50000000,100000,106.9151,53457550,13/09/2019
4-01-00732-2,SIVEMGC-258,DO1005206516,MH32028,10/08/2018,11/08/2028,DOP,V,SP,OTC,S,0.1075,0.0952,13/09/2019,100,10000000,100000,107.2417,10724170,13/09/2019
4-01-00732-2,SIVEMGC-242,DO1005205914,MH22023,07/04/2017,07/04/2023,DOP,V,SP,OTC,S,0.105,0.082,13/09/2019,250,25000000,100000,106.9662,26741550,13/09/2019
4-01-00732-2,SIVEMGC-200,DO1005204719,MH22022,04/03/2015,04/03/2022,DOP,V,SP,OTC,S,0.1038,0.0801,13/09/2019,300,30000000,100000,105.1682,31550460,13/09/2019
4-01-00755-1,SIVEMBC-263,DO1002219322,DOBCNO10.00%261121,26/11/2018,26/11/2021,DOP,C,SP,OTC,S,0.1,0.0875,13/09/2019,8000,80000000,10000,102.4285,81942814.568,13/09/2019
4-01-00732-2,SIVEMGC-198,USP3579EBD87,BSRD2025,27/01/2015,27/01/2025,USD,V,SP,OTC,S,0.055,0.0375,13/09/2019,3,3000,1000,108.4388,3253.164,13/09/2019
4-01-00732-2,SIVEMGC-185,DO1005204214,MH12024,10/05/2014,10/05/2024,DOP,V,SP,OTC,S,0.115,0.084,13/09/2019,271,27100000,100000,111.7103,30273491.3,13/09/2019
4-01-00732-2,SIVEMGC-185,DO1005204214,MH12024,10/05/2014,10/05/2024,DOP,V,SP,OTC,S,0.115,0.084,13/09/2019,223,22300000,100000,111.7103,24911396.9,13/09/2019
4-01-00732-2,SIVEMGC-185,DO1005204214,MH12024,10/05/2014,10/05/2024,DOP,V,SP,OTC,S,0.115,0.084,13/09/2019,200,20000000,100000,111.7103,22342060,13/09/2019
4-01-00732-2,SIVEMGC-185,DO1005204214,MH12024,10/05/2014,10/05/2024,DOP,V,SP,OTC,S,0.115,0.084,13/09/2019,83,8300000,100000,111.7103,9271954.9,13/09/2019
4-01-00732-2,SIVEMGC-185,DO1005204214,MH12024,10/05/2014,10/05/2024,DOP,V,SP,OTC,S,0.115,0.084,13/09/2019,80,8000000,100000,111.7103,8936824,13/09/2019
4-01-00732-2,SIVEMGC-185,DO1005204214,MH12024,10/05/2014,10/05/2024,DOP,V,SP,OTC,S,0.115,0.084,13/09/2019,50,5000000,100000,111.7103,5585515,13/09/2019
4-01-00732-2,SIVEMGC-185,DO1005204214,MH12024,10/05/2014,10/05/2024,DOP,V,SP,OTC,S,0.115,0.084,13/09/2019,50,5000000,100000,111.7103,5585515,13/09/2019
4-01-00732-2,SIVEMGC-185,DO1005204214,MH12024,10/05/2014,10/05/2024,DOP,V,SP,OTC,S,0.115,0.084,13/09/2019,43,4300000,100000,111.7103,4803542.9,13/09/2019
4-01-00732-2,SIVEMGC-264,DO1005206722,MH12034,11/01/2019,11/01/2034,DOP,C,SP,OTC,S,0.115,0.099,13/09/2019,50,5000000,100000,112.1262,5606310,13/09/2019
4-01-00732-2,SIVEMGC-243,DO1005206011,MH12032,05/03/2017,05/03/2032,DOP,C,SP,OTC,S,0.12,0.099,13/09/2019,552,55200000,100000,114.8602,63402830.4,13/09/2019
4-01-00732-2,SIVEMGC-085,DO1005241125,MH12022,04/02/2012,04/02/2022,DOP,V,SP,OTC,S,0.1695,0.0801,13/09/2019,100,10000000,100000,119.1248,11912480,13/09/2019
4-01-00732-2,SIVEMGC-085,DO1005241125,MH12022,04/02/2012,04/02/2022,DOP,V,SP,OTC,S,0.1695,0.0801,13/09/2019,100,10000000,100000,119.1248,11912480,13/09/2019
4-01-00755-1,SIVEMBC-263,DO1002219926,DOBCNO10.00%180222,18/02/2019,18/02/2022,DOP,C,SP,OTC,S,0.1,0.0888,13/09/2019,10000,100000000,10000,102.3869,102386894.15,13/09/2019
4-01-00732-2,SIVEMGC-258,DO1005206516,MH32028,10/08/2018,11/08/2028,DOP,V,SP,OTC,S,0.1075,0.0955,13/09/2019,100,10000000,100000,107.09,10709000,13/09/2019
4-01-00732-2,SIVEMGC-258,DO1005206516,MH32028,10/08/2018,11/08/2028,DOP,C,SP,OTC,S,0.1075,0.0965,13/09/2019,250,25000000,100000,106.4692,26617300,13/09/2019
4-01-00732-2,SIVEMGC-258,DO1005206516,MH32028,10/08/2018,11/08/2028,DOP,V,SP,OTC,S,0.1075,0.0952,13/09/2019,100,10000000,100000,107.27,10727000,13/09/2019
4-01-00755-1,SIVEMBC-263,DO1002219926,DOBCNO10.00%180222,18/02/2019,18/02/2022,DOP,V,SP,OTC,S,0.1,0.088,13/09/2019,2500,25000000,10000,102.5612,25640311.2,13/09/2019
4-01-00732-2,SIVEMGC-085,DO1005241125,MH12022,04/02/2012,04/02/2022,DOP,V,SP,OTC,S,0.1695,0.0801,13/09/2019,100,10000000,100000,119.1248,11912480,13/09/2019
4-01-00732-2,SIVEMGC-200,DO1005204719,MH22022,04/03/2015,04/03/2022,DOP,V,SP,OTC,S,0.1038,0.0801,13/09/2019,12,1200000,100000,105.1682,1262018.4,13/09/2019
4-01-00732-2,SIVEMGC-185,DO1005204214,MH12024,10/05/2014,10/05/2024,DOP,V,SP,OTC,S,0.115,0.0856,13/09/2019,80,8000000,100000,111.0724,8885792,13/09/2019
4-01-00732-2,SIVEMGC-185,DO1005204214,MH12024,10/05/2014,10/05/2024,DOP,V,SP,OTC,S,0.115,0.0856,13/09/2019,7,700000,100000,111.0724,777506.8,13/09/2019
4-01-00732-2,SIVEMGC-185,DO1005204214,MH12024,10/05/2014,10/05/2024,DOP,V,SP,OTC,S,0.115,0.0856,13/09/2019,15,1500000,100000,111.0724,1666086,13/09/2019
4-01-00732-2,SIVEMGC-185,DO1005204214,MH12024,10/05/2014,10/05/2024,DOP,V,SP,OTC,S,0.115,0.0856,13/09/2019,328,32800000,100000,111.0724,36431747.2,13/09/2019
4-01-00732-2,SIVEMGC-185,DO1005204214,MH12024,10/05/2014,10/05/2024,DOP,V,SP,OTC,S,0.115,0.0856,13/09/2019,500,50000000,100000,111.0724,55536200,13/09/2019
4-01-00732-2,SIVEMGC-185,DO1005204214,MH12024,10/05/2014,10/05/2024,DOP,V,SP,OTC,S,0.115,0.0856,13/09/2019,750,75000000,100000,111.0724,83304300,13/09/2019
4-01-00732-2,SIVEMGC-185,DO1005204214,MH12024,10/05/2014,10/05/2024,DOP,V,SP,OTC,S,0.115,0.0856,13/09/2019,484,48400000,100000,111.0724,53759041.6,13/09/2019
4-01-00732-2,SIVEMGC-185,DO1005204214,MH12024,10/05/2014,10/05/2024,DOP,V,SP,OTC,S,0.115,0.0856,13/09/2019,527,52700000,100000,111.0724,58535154.8,13/09/2019
4-01-00732-2,SIVEMGC-230,DO1005205419,MH42026,04/06/2016,04/12/2026,DOP,V,SP,OTC,S,0.11,0.0936,13/09/2019,10,1000000,100000,108.4459,1084459,13/09/2019
4-01-00755-1,SIVEMBC-208,DO1002214521,DOBCNO11.00%150722,15/07/2015,15/07/2022,DOP,C,SP,OTC,S,0.11,0.0885,13/09/2019,20000,200000000,10000,105.2566,210513269.53,13/09/2019
4-01-00732-2,SIVEMGC-258,DO1005206516,MH32028,10/08/2018,11/08/2028,DOP,C,SP,OTC,S,0.1075,0.097,13/09/2019,3810,381000000,100000,106.1927,404594187,13/09/2019
4-01-00732-2,SIVEMGC-264,DO1005206623,MH22024,11/01/2019,11/01/2024,DOP,V,SP,OTC,S,0.1025,0.0835,13/09/2019,570,57000000,100000,106.7795,60864315,13/09/2019
4-01-00732-2,SIVEMGC-264,DO1005206623,MH22024,11/01/2019,11/01/2024,DOP,V,SP,OTC,S,0.1025,0.0835,13/09/2019,181,18100000,100000,106.7795,19327089.5,13/09/2019
4-01-00732-2,SIVEMGC-264,DO1005206623,MH22024,11/01/2019,11/01/2024,DOP,V,SP,OTC,S,0.1025,0.0835,13/09/2019,249,24900000,100000,106.7795,26588095.5,13/09/2019
4-01-00732-2,SIVEMGC-264,DO1005206623,MH22024,11/01/2019,11/01/2024,DOP,V,SP,OTC,S,0.1025,0.084,13/09/2019,372,37200000,100000,106.5936,39652819.2,13/09/2019
4-01-00732-2,SIVEMGC-264,DO1005206623,MH22024,11/01/2019,11/01/2024,DOP,V,SP,OTC,S,0.1025,0.084,13/09/2019,12,1200000,100000,106.5936,1279123.2,13/09/2019
4-01-00732-2,SIVEMGC-264,DO1005206623,MH22024,11/01/2019,11/01/2024,DOP,V,SP,OTC,S,0.1025,0.084,13/09/2019,7,700000,100000,106.5936,746155.2,13/09/2019
4-01-00732-2,SIVEMGC-264,DO1005206623,MH22024,11/01/2019,11/01/2024,DOP,V,SP,OTC,S,0.1025,0.084,13/09/2019,266,26600000,100000,106.5936,28353897.6,13/09/2019
4-01-00732-2,SIVEMGC-264,DO1005206623,MH22024,11/01/2019,11/01/2024,DOP,V,SP,OTC,S,0.1025,0.084,13/09/2019,343,34300000,100000,106.5936,36561604.8,13/09/2019
4-01-00732-2,SIVEMGC-068,USP3579EAH01,GLOB2010240001,06/05/2010,06/05/2021,USD,C,SP,OTC,S,0.075,0.0379,13/09/2019,133,133000,1000,104.1,138452.9335,13/09/2019
4-01-00732-2,SIVEMGC-234,DO1005205617,MH12027,05/08/2016,05/02/2027,DOP,C,SP,OTC,S,0.1125,0.0948,13/09/2019,250,25000000,100000,109.2615,27315375,13/09/2019
4-01-00732-2,SIVEMGC-234,DO1005205617,MH12027,05/08/2016,05/02/2027,DOP,V,SP,OTC,S,0.1125,0.0943,13/09/2019,190,19000000,100000,109.5392,20812448,13/09/2019
4-01-00755-1,SIVEMBC-265,DO1002219827,DOBCLE0.00%061219,06/12/2018,06/12/2019,DOP,C,SP,OTC,P,0,0.0746,13/09/2019,100000,1000000000,10000,98.2891,982891000,13/09/2019
4-01-00755-1,SIVEMBC-265,DO1002219827,DOBCLE0.00%061219,06/12/2018,06/12/2019,DOP,C,SP,OTC,P,0,0.0741,13/09/2019,100000,1000000000,10000,98.3004,983004000,13/09/2019
4-01-00755-1,SIVEMBC-265,DO1002219827,DOBCLE0.00%061219,06/12/2018,06/12/2019,DOP,C,SP,OTC,P,0,0.0743,13/09/2019,100000,1000000000,10000,98.2959,982959000,13/09/2019
4-01-00732-2,SIVEMGC-063,DO1005234625,MH12021,04/06/2011,04/06/2021,DOP,V,SP,OTC,S,0.1595,0.0753,13/09/2019,383,38300000,100000,113.333,43406539,13/09/2019
4-01-00755-1,SIVEMBC-263,DO1002219926,DOBCNO10.00%180222,18/02/2019,18/02/2022,DOP,V,SP,OTC,S,0.1,0.0888,13/09/2019,10000,100000000,10000,103.0934,103093415.89,13/09/2019
4-01-00732-2,SIVEMGC-243,DO1005206011,MH1-2032,03/05/2017,03/05/2032,DOP,V,SP,OTC,S,0.12,0.0985,18/09/2019,100,10000000,100000,115.6262,11562620,13/09/2019
4-01-00732-2,SIVEMGC-186,DO1005204412,MH12029,06/07/2014,06/07/2029,DOP,V,SP,OTC,S,0.1138,0.0978,13/09/2019,287,28700000,100000,112.0353,32154131.1,13/09/2019
4-01-00732-2,SIVEMGC-149,USP3579EAS65,BSRD2024,18/04/2013,18/04/2024,USD,V,SP,OTC,S,0.0588,0.0405,13/09/2019,30,30000,1000,108.4972,32549.1516,13/09/2019
4-01-00732-2,SIVEMGC-242,DO1005205914,MH22023,07/04/2017,07/04/2023,DOP,C,SP,OTC,S,0.105,0.0824,13/09/2019,250,25000000,100000,106.9662,26741550,13/09/2019
4-01-00732-2,SIVEMGC-224,DO1005205112,MH22026,14/01/2016,14/01/2026,DOP,C,SP,OTC,S,0.1088,0.0957,13/09/2019,7,700000,100000,107.6537,753575.9,13/09/2019
4-01-00732-2,SIVEMGC-068,USP3579EAH01,BSRD2021,06/05/2010,06/05/2021,USD,V,SP,OTC,S,0.075,0.0438,13/09/2019,1,1866666,1866666,105.0822,1961534.4035,13/09/2019
4-01-00732-2,SIVEMGC-068,USP3579EAH01,BSRD2021,06/05/2010,06/05/2021,USD,C,SP,OTC,S,0.075,0.0445,13/09/2019,1,3342000,3342000,104.95,3507429.021,13/09/2019
4-01-00755-1,SIVEMBC-263,DO1002219926,NO180222,18/02/2019,18/02/2022,DOP,V,SP,OTC,S,0.1,0.0873,13/09/2019,100,1000000,10000,102.9988,1029987.8378,13/09/2019
4-01-00732-2,SIVEMGC-185,DO1005204214,MH12024,10/05/2014,10/05/2024,DOP,C,SP,OTC,S,0.115,0.0886,13/09/2019,500,50000000,100000,111.7103,55855150,13/09/2019
4-01-00732-2,SIVEMGC-264,DO1005206623,MH22024,11/01/2019,11/01/2024,DOP,C,SP,OTC,S,0.1025,0.0861,13/09/2019,500,50000000,100000,106.7795,53389750,13/09/2019
4-01-00732-2,SIVEMGC-258,DO1005206516,MH32028,10/08/2018,11/08/2028,DOP,V,SP,OTC,S,0.1075,0.0985,13/09/2019,9,900000,100000,107.7072,969364.8,13/09/2019
4-01-00755-1,SIVEMBC-256,DO1002218522,NO130123,13/01/2018,13/01/2023,DOP,V,SP,OTC,S,0.1,0.0902,13/09/2019,142,1420000,10000,102.7998,1459757.5075,13/09/2019
4-01-00755-1,SIVEMBC-241,DO1002217128,CI090224,09/02/2017,09/02/2024,DOP,V,SP,OTC,S,0.11,0.0948,13/09/2019,200,2000000,10000,106.5666,2131331.9366,13/09/2019
4-01-00755-1,SIVEMBC-208,DO1002214521,NO150722,15/07/2015,15/07/2022,DOP,V,SP,OTC,S,0.11,0.0905,13/09/2019,10000,100000000,10000,105.2566,105256635,13/09/2019
4-01-00755-1,SIVEMBC-208,DO1002214521,NO150722,15/07/2015,15/07/2022,DOP,V,SP,OTC,S,0.11,0.0905,13/09/2019,10000,100000000,10000,105.2566,105256635,13/09/2019
4-01-00755-1,SIVEMBC-263,DO1002219926,NO180222,18/02/2019,18/02/2022,DOP,V,SP,OTC,S,0.1,0.089,13/09/2019,1000,10000000,10000,102.5612,10256124.4761,13/09/2019
4-01-00732-2,SIVEMGC-264,DO1005206623,MH22024,11/01/2019,11/01/2024,DOP,C,SP,OTC,S,0.1025,0.0861,13/09/2019,500,50000000,100000,106.7795,53389750,13/09/2019
4-01-00732-2,SIVEMGC-264,DO1005206623,MH22024,11/01/2019,11/01/2024,DOP,C,SP,OTC,S,0.1025,0.0865,13/09/2019,1000,100000000,100000,106.5936,106593600,13/09/2019
4-01-00732-2,SIVEMGC-185,DO1005204214,MH12024,10/05/2014,10/05/2024,DOP,C,SP,OTC,S,0.115,0.0886,13/09/2019,500,50000000,100000,111.7103,55855150,13/09/2019
4-01-00732-2,SIVEMGC-063,DO1005234625,MH12021,04/06/2011,04/06/2021,DOP,C,SP,OTC,S,0.1595,0.0878,13/09/2019,2370,237000000,100000,112.7797,267287889,13/09/2019
4-01-00755-1,SIVEMBC-256,DO1002218621,NO170125,17/01/2018,17/01/2025,DOP,C,SP,OTC,S,0.105,0.0952,13/09/2019,15000,150000000,10000,104.5125,156768680.28,13/09/2019
4-01-00755-1,SIVEMBC-177,DO1002212020,CI300421,30/04/2014,30/04/2021,DOP,C,SP,OTC,S,0.14,0.0852,13/09/2019,4000,40000000,10000,108.5579,43423174.904,13/09/2019
4-01-00755-1,SIVEMBC-164,DO1002257728,CI080121,08/01/2014,08/01/2021,DOP,C,SP,OTC,S,0.14,0.087,13/09/2019,7000,70000000,10000,107.0451,74931556.427,13/09/2019
4-01-00755-1,SIVEMBC-256,DO1002218423,NO150121,15/01/2018,15/01/2021,DOP,C,SP,OTC,S,0.095,0.0822,13/09/2019,25000,250000000,10000,101.5312,253828004.825,13/09/2019
4-01-00732-2,SIVEMGC-234,DO1005205617,MH12027,05/08/2016,05/02/2027,DOP,V,SP,OTC,S,0.1125,0.0996,13/09/2019,500,50000000,100000,109.428,54714000,13/09/2019
4-01-00732-2,SIVEMGC-186,DO1005204412,MH12029,06/07/2014,06/07/2029,DOP,V,SP,OTC,S,0.1138,0.1025,13/09/2019,250,25000000,100000,109.8187,27454675,13/09/2019
4-01-00732-2,224,DO1005205617,MH12027,05/08/2016,05/02/2027,DOP,C,SP,OTC,S,0.1125,0.0969,13/09/2019,160,16000000,100000,110.8248,17731960.77,13/09/2019
4-01-00732-2,224,DO1005205617,MH12027,05/08/2016,05/02/2027,DOP,C,SP,OTC,S,0.1125,0.0969,13/09/2019,264,26400000,100000,113.8581,30058526.47,13/09/2019
4-01-00732-2,224,DO1005205617,MH12027,05/08/2016,05/02/2027,DOP,V,SP,OTC,S,0.1125,0.0906,13/09/2019,160,16000000,100000,112.826,18052152.77,13/09/2019
4-01-00755-1,SIVEMBC-263,DO1002219322,NO261121,26/11/2018,26/11/2021,DOP,V,SP,OTC,S,0.1,0.08,13/09/2019,50,500000,10000,103.9407,519703.645,13/09/2019
4-01-00755-1,2,DO1002218423,DOBCNO09.50%150121,15/01/2018,15/01/2021,DOP,C,SP,OTC,S,0.095,0.094,13/09/2019,5000,50000000,10000,101.648,50823976,13/09/2019
4-01-00732-2,1,DO1005241125,MH1-2022,04/02/2012,04/02/2022,DOP,C,SP,OTC,S,0.1695,0.09,13/09/2019,500,50000000,100000,118.6423,59321167,13/09/2019
4-01-00755-1,2,DO1002216112,DOBCCI11.00%030223,03/02/2016,03/02/2023,DOP,V,SP,OTC,S,0.11,0.1,13/09/2019,10000,100000000,10000,104.0179,104017916,13/09/2019
4-01-00755-1,2,DO1002218522,DOBCNO10.00%130123,13/01/2018,13/01/2023,DOP,V,SP,OTC,S,0.1,0.0915,13/09/2019,4000,40000000,10000,104.0542,41621696.4,13/09/2019
4-01-00732-2,1,DO1005206722,MH1-2034,11/01/2019,11/01/2034,DOP,V,SP,OTC,S,0.115,0.0988,13/09/2019,250,25000000,100000,114.2777,28569434.5,13/09/2019
4-01-00732-2,1,DO1005206722,MH1-2034,11/01/2019,11/01/2034,DOP,V,SP,OTC,S,0.115,0.0988,13/09/2019,1000,100000000,100000,114.2777,114277738,13/09/2019
4-01-00732-2,1,DO1005206722,MH1-2034,11/01/2019,11/01/2034,DOP,V,SP,OTC,S,0.115,0.0988,13/09/2019,100,10000000,100000,114.2777,11427773.8,13/09/2019
4-01-00755-1,2,DO1002218522,DOBCNO10.00%130123,13/01/2018,13/01/2023,DOP,V,SP,OTC,S,0.1,0.0915,13/09/2019,2500,25000000,10000,104.0542,26013560.25,13/09/2019
4-01-00732-2,1,DO1005206722,MH1-2034,11/01/2019,11/01/2034,DOP,V,SP,OTC,S,0.115,0.0988,13/09/2019,100,10000000,100000,114.2777,11427773.8,13/09/2019
4-01-00732-2,1,DO1005206722,MH1-2034,11/01/2019,11/01/2034,DOP,V,SP,OTC,S,0.115,0.0988,13/09/2019,250,25000000,100000,114.2777,28569434.5,13/09/2019
4-01-00732-2,1,DO1005206722,MH1-2034,11/01/2019,11/01/2034,DOP,V,SP,OTC,S,0.115,0.0988,13/09/2019,150,15000000,100000,114.2777,17141660.7,13/09/2019
4-01-00732-2,1,DO1005206722,MH1-2034,11/01/2019,11/01/2034,DOP,V,SP,OTC,S,0.115,0.0988,13/09/2019,100,10000000,100000,114.2777,11427773.8,13/09/2019
4-01-00732-2,1,DO1005206722,MH1-2034,11/01/2019,11/01/2034,DOP,V,SP,OTC,S,0.115,0.0988,13/09/2019,100,10000000,100000,114.2777,11427773.8,13/09/2019
4-01-00732-2,1,DO1005206722,MH1-2034,11/01/2019,11/01/2034,DOP,V,SP,OTC,S,0.115,0.0988,13/09/2019,300,30000000,100000,114.2777,34283321.4,13/09/2019
4-01-00732-2,1,DO1005206722,MH1-2034,11/01/2019,11/01/2034,DOP,V,SP,OTC,S,0.115,0.0988,13/09/2019,250,25000000,100000,114.2777,28569434.5,13/09/2019
4-01-00755-1,ND,DO1002219827,DOBCLE0.00%061219,06/12/2018,06/12/2019,DOP,C,SP,OTC,P,0.074,0.0727,13/09/2019,2500,25000000,10000,98.3026,24575660.27,13/09/2019
4-01-00755-1,ND,DO1002219827,DOBCLE0.00%061219,06/12/2018,06/12/2019,DOP,C,SP,OTC,P,0.0745,0.0732,13/09/2019,2500,25000000,10000,98.2914,24572842.09,13/09/2019
4-01-00755-1,ND,DO1002219926,NO180222,18/02/2019,18/02/2022,DOP,V,SP,OTC,S,0.1,0.0852,13/09/2019,4823,48230000,10000,103.8748,50098832.0909,13/09/2019
4-01-00732-2,63,DO1005224329,MH12020,10/07/2010,10/07/2020,DOP,C,SP,OTC,S,0.16,0.076,13/09/2019,119,11900000,100000,109.399,13018481,13/09/2019
4-01-00732-2,GC-258,DO1005206516,MH3-2028,10/08/2018,11/08/2028,DOP,C,SP,OTC,S,0.1075,0.0952,13/09/2019,100,10000000,100000,107.3,10730000,13/09/2019
4-01-00755-1,BC-137,DO1002249022,DOBCCI14.00%181019,18/10/2012,18/10/2019,DOP,C,SP,OTC,S,0.14,0.081,13/09/2019,5330,53300000,10000,100.5329,53584051.49,13/09/2019
4-01-00732-2,GC-186,DO1005204412,MH1-2029,06/07/2014,06/07/2029,DOP,V,SP,OTC,S,0.1138,0.0964,13/09/2019,10,1000000,100000,110.8196,1108196,13/09/2019
